NUM :739.5
DATE :2013.843707713126
JACKPOT :49545331.52909337
N1 :8.310554803788904
N2 :16.71109607577808
N3 :25.149526387009473
N4 :33.953991880920164
N5 :42.55142083897158
E1 :3.918809201623816
E2 :7.930987821380244
NBJEU :31699258.11907984
EU1 :0.30649526387009474
EU2 :4.974289580514208
EU3 :9.366711772665765
EU4 :69.37821380243572
EU5 :1152.8443843031123
EU6 :2157.8646820027066
EU7 :3047.877537212449
EU8 :43137.97631935048
EU9 :51125.634641407305
EU10 :95100.08660351827
EU11 :228513.05953991882
EU12 :725641.1312584573
NB1 :0.06698240866035182
NB2 :1.0859269282814614
NB3 :2.023680649526387
NB4 :15.59404600811908
NB5 :255.7868741542625
NB6 :472.8673883626522
NB7 :680.9729364005412
NB8 :9633.89106901218
NB9 :11337.821380243573
NB10 :20813.020974289582
NB11 :51032.075778078484
NB12 :160648.81732070365
MT1 :11888318.626522327
MT2 :472110.8755074425
MT3 :83378.7253044655
MT4 :4405.901217861976
MT5 :204.52909336941812
MT6 :106.09472259810555
MT7 :65.21177266576454
MT8 :21.36468200270636
MT9 :16.412719891745603
MT10 :12.847090663058188
MT11 :9.753044654939107
MT12 :7.602841677943166
